Run,Phase,Block,Trial,Object,Pos,Con,ObjectCategory,Onset,Duration,Response,RT,isCorrect
1,learning,1,1,21,3,2,practice,,,0,0,0
1,learning,1,2,18,2,4,practice,,,0,0,0
1,learning,1,3,23,4,3,practice,,,0,0,0
1,learning,1,4,22,6,1,practice,,,0,0,0
1,learning,1,5,20,5,1,practice,,,0,0,0
1,learning,1,6,13,1,3,practice,,,0,0,0
1,learning,1,7,19,3,2,practice,,,0,0,0
1,learning,1,8,16,2,3,practice,,,0,0,0
1,learning,1,9,24,5,1,practice,,,0,0,0
1,learning,1,10,15,4,4,practice,,,0,0,0
1,learning,1,11,14,1,4,practice,,,0,0,0
1,learning,1,12,17,6,2,practice,,,0,0,0
1,retrieval,1,1,19,3,2,practice,,,0,0,0
1,retrieval,1,2,13,1,3,practice,,,0,0,0
1,retrieval,1,3,16,2,3,practice,,,0,0,0
1,retrieval,1,4,24,5,1,practice,,,0,0,0
1,retrieval,1,5,21,3,2,practice,,,0,0,0
1,retrieval,1,6,22,6,1,practice,,,0,0,0
1,retrieval,1,7,14,1,4,practice,,,0,0,0
1,retrieval,1,8,23,4,3,practice,,,0,0,0
1,retrieval,1,9,15,4,4,practice,,,0,0,0
1,retrieval,1,10,18,2,4,practice,,,0,0,0
1,retrieval,1,11,20,5,1,practice,,,0,0,0
1,retrieval,1,12,17,6,2,practice,,,0,0,0
1,test1,1,1,19,3,2,practice,,,NaN,NaN,NaN
1,test1,1,2,13,1,3,practice,,,NaN,NaN,NaN
1,test1,1,3,16,2,3,practice,,,NaN,NaN,NaN
1,test1,1,4,24,5,1,practice,,,NaN,NaN,NaN
1,test1,1,5,21,3,2,practice,,,NaN,NaN,NaN
1,test1,1,6,22,6,1,practice,,,NaN,NaN,NaN
1,test1,1,7,14,1,4,practice,,,NaN,NaN,NaN
1,test1,1,8,23,4,3,practice,,,NaN,NaN,NaN
1,test1,1,9,15,4,4,practice,,,NaN,NaN,NaN
1,test1,1,10,18,2,4,practice,,,NaN,NaN,NaN
1,test1,1,11,20,5,1,practice,,,NaN,NaN,NaN
1,test1,1,12,17,6,2,practice,,,NaN,NaN,NaN
1,test2,1,1,19,3,2,practice,,,NaN,NaN,NaN
1,test2,1,2,13,1,3,practice,,,NaN,NaN,NaN
1,test2,1,3,16,2,3,practice,,,NaN,NaN,NaN
1,test2,1,4,24,5,1,practice,,,NaN,NaN,NaN
1,test2,1,5,21,3,2,practice,,,NaN,NaN,NaN
1,test2,1,6,22,6,1,practice,,,NaN,NaN,NaN
1,test2,1,7,14,1,4,practice,,,NaN,NaN,NaN
1,test2,1,8,23,4,3,practice,,,NaN,NaN,NaN
1,test2,1,9,15,4,4,practice,,,NaN,NaN,NaN
1,test2,1,10,18,2,4,practice,,,NaN,NaN,NaN
1,test2,1,11,20,5,1,practice,,,NaN,NaN,NaN
1,test2,1,12,17,6,2,practice,,,NaN,NaN,NaN
1,learning,2,1,17,1,3,practice,,,0,0,0
1,learning,2,2,19,5,1,practice,,,0,0,0
1,learning,2,3,22,6,2,practice,,,0,0,0
1,learning,2,4,23,4,2,practice,,,0,0,0
1,learning,2,5,14,3,4,practice,,,0,0,0
1,learning,2,6,15,2,2,practice,,,0,0,0
1,learning,2,7,21,2,4,practice,,,0,0,0
1,learning,2,8,24,3,4,practice,,,0,0,0
1,learning,2,9,20,4,3,practice,,,0,0,0
1,learning,2,10,13,6,1,practice,,,0,0,0
1,learning,2,11,16,1,1,practice,,,0,0,0
1,learning,2,12,18,5,3,practice,,,0,0,0
1,retrieval,2,1,22,6,2,practice,,,0,0,0
1,retrieval,2,2,17,1,3,practice,,,0,0,0
1,retrieval,2,3,16,1,1,practice,,,0,0,0
1,retrieval,2,4,19,5,1,practice,,,0,0,0
1,retrieval,2,5,18,5,3,practice,,,0,0,0
1,retrieval,2,6,21,2,4,practice,,,0,0,0
1,retrieval,2,7,14,3,4,practice,,,0,0,0
1,retrieval,2,8,24,3,4,practice,,,0,0,0
1,retrieval,2,9,15,2,2,practice,,,0,0,0
1,retrieval,2,10,20,4,3,practice,,,0,0,0
1,retrieval,2,11,13,6,1,practice,,,0,0,0
1,retrieval,2,12,23,4,2,practice,,,0,0,0
1,test1,2,1,22,6,2,practice,,,NaN,NaN,NaN
1,test1,2,2,17,1,3,practice,,,NaN,NaN,NaN
1,test1,2,3,16,1,1,practice,,,NaN,NaN,NaN
1,test1,2,4,19,5,1,practice,,,NaN,NaN,NaN
1,test1,2,5,18,5,3,practice,,,NaN,NaN,NaN
1,test1,2,6,21,2,4,practice,,,NaN,NaN,NaN
1,test1,2,7,14,3,4,practice,,,NaN,NaN,NaN
1,test1,2,8,24,3,4,practice,,,NaN,NaN,NaN
1,test1,2,9,15,2,2,practice,,,NaN,NaN,NaN
1,test1,2,10,20,4,3,practice,,,NaN,NaN,NaN
1,test1,2,11,13,6,1,practice,,,NaN,NaN,NaN
1,test1,2,12,23,4,2,practice,,,NaN,NaN,NaN
1,test2,2,1,22,6,2,practice,,,NaN,NaN,NaN
1,test2,2,2,17,1,3,practice,,,NaN,NaN,NaN
1,test2,2,3,16,1,1,practice,,,NaN,NaN,NaN
1,test2,2,4,19,5,1,practice,,,NaN,NaN,NaN
1,test2,2,5,18,5,3,practice,,,NaN,NaN,NaN
1,test2,2,6,21,2,4,practice,,,NaN,NaN,NaN
1,test2,2,7,14,3,4,practice,,,NaN,NaN,NaN
1,test2,2,8,24,3,4,practice,,,NaN,NaN,NaN
1,test2,2,9,15,2,2,practice,,,NaN,NaN,NaN
1,test2,2,10,20,4,3,practice,,,NaN,NaN,NaN
1,test2,2,11,13,6,1,practice,,,NaN,NaN,NaN
1,test2,2,12,23,4,2,practice,,,NaN,NaN,NaN
1,learning,3,1,19,2,3,practice,,,0,0,0
1,learning,3,2,22,5,3,practice,,,0,0,0
1,learning,3,3,18,3,1,practice,,,0,0,0
1,learning,3,4,21,6,4,practice,,,0,0,0
1,learning,3,5,15,1,2,practice,,,0,0,0
1,learning,3,6,20,4,1,practice,,,0,0,0
1,learning,3,7,24,5,4,practice,,,0,0,0
1,learning,3,8,17,3,4,practice,,,0,0,0
1,learning,3,9,14,2,2,practice,,,0,0,0
1,learning,3,10,23,4,3,practice,,,0,0,0
1,learning,3,11,16,6,2,practice,,,0,0,0
1,learning,3,12,13,1,1,practice,,,0,0,0
1,retrieval,3,1,20,4,1,practice,,,0,0,0
1,retrieval,3,2,15,1,2,practice,,,0,0,0
1,retrieval,3,3,16,6,2,practice,,,0,0,0
1,retrieval,3,4,18,3,1,practice,,,0,0,0
1,retrieval,3,5,24,5,4,practice,,,0,0,0
1,retrieval,3,6,13,1,1,practice,,,0,0,0
1,retrieval,3,7,21,6,4,practice,,,0,0,0
1,retrieval,3,8,22,5,3,practice,,,0,0,0
1,retrieval,3,9,23,4,3,practice,,,0,0,0
1,retrieval,3,10,14,2,2,practice,,,0,0,0
1,retrieval,3,11,17,3,4,practice,,,0,0,0
1,retrieval,3,12,19,2,3,practice,,,0,0,0
1,test1,3,1,20,4,1,practice,,,NaN,NaN,NaN
1,test1,3,2,15,1,2,practice,,,NaN,NaN,NaN
1,test1,3,3,16,6,2,practice,,,NaN,NaN,NaN
1,test1,3,4,18,3,1,practice,,,NaN,NaN,NaN
1,test1,3,5,24,5,4,practice,,,NaN,NaN,NaN
1,test1,3,6,13,1,1,practice,,,NaN,NaN,NaN
1,test1,3,7,21,6,4,practice,,,NaN,NaN,NaN
1,test1,3,8,22,5,3,practice,,,NaN,NaN,NaN
1,test1,3,9,23,4,3,practice,,,NaN,NaN,NaN
1,test1,3,10,14,2,2,practice,,,NaN,NaN,NaN
1,test1,3,11,17,3,4,practice,,,NaN,NaN,NaN
1,test1,3,12,19,2,3,practice,,,NaN,NaN,NaN
1,test2,3,1,20,4,1,practice,,,NaN,NaN,NaN
1,test2,3,2,15,1,2,practice,,,NaN,NaN,NaN
1,test2,3,3,16,6,2,practice,,,NaN,NaN,NaN
1,test2,3,4,18,3,1,practice,,,NaN,NaN,NaN
1,test2,3,5,24,5,4,practice,,,NaN,NaN,NaN
1,test2,3,6,13,1,1,practice,,,NaN,NaN,NaN
1,test2,3,7,21,6,4,practice,,,NaN,NaN,NaN
1,test2,3,8,22,5,3,practice,,,NaN,NaN,NaN
1,test2,3,9,23,4,3,practice,,,NaN,NaN,NaN
1,test2,3,10,14,2,2,practice,,,NaN,NaN,NaN
1,test2,3,11,17,3,4,practice,,,NaN,NaN,NaN
1,test2,3,12,19,2,3,practice,,,NaN,NaN,NaN
1,learning,4,1,18,2,2,practice,,,0,0,0
1,learning,4,2,16,4,4,practice,,,0,0,0
1,learning,4,3,20,6,4,practice,,,0,0,0
1,learning,4,4,19,5,4,practice,,,0,0,0
1,learning,4,5,13,1,3,practice,,,0,0,0
1,learning,4,6,15,3,2,practice,,,0,0,0
1,learning,4,7,14,1,1,practice,,,0,0,0
1,learning,4,8,22,6,2,practice,,,0,0,0
1,learning,4,9,21,3,3,practice,,,0,0,0
1,learning,4,10,17,5,1,practice,,,0,0,0
1,learning,4,11,24,2,3,practice,,,0,0,0
1,learning,4,12,23,4,1,practice,,,0,0,0
1,retrieval,4,1,23,4,1,practice,,,0,0,0
1,retrieval,4,2,18,2,2,practice,,,0,0,0
1,retrieval,4,3,24,2,3,practice,,,0,0,0
1,retrieval,4,4,13,1,3,practice,,,0,0,0
1,retrieval,4,5,22,6,2,practice,,,0,0,0
1,retrieval,4,6,21,3,3,practice,,,0,0,0
1,retrieval,4,7,14,1,1,practice,,,0,0,0
1,retrieval,4,8,17,5,1,practice,,,0,0,0
1,retrieval,4,9,20,6,4,practice,,,0,0,0
1,retrieval,4,10,15,3,2,practice,,,0,0,0
1,retrieval,4,11,16,4,4,practice,,,0,0,0
1,retrieval,4,12,19,5,4,practice,,,0,0,0
1,test1,4,1,23,4,1,practice,,,NaN,NaN,NaN
1,test1,4,2,18,2,2,practice,,,NaN,NaN,NaN
1,test1,4,3,24,2,3,practice,,,NaN,NaN,NaN
1,test1,4,4,13,1,3,practice,,,NaN,NaN,NaN
1,test1,4,5,22,6,2,practice,,,NaN,NaN,NaN
1,test1,4,6,21,3,3,practice,,,NaN,NaN,NaN
1,test1,4,7,14,1,1,practice,,,NaN,NaN,NaN
1,test1,4,8,17,5,1,practice,,,NaN,NaN,NaN
1,test1,4,9,20,6,4,practice,,,NaN,NaN,NaN
1,test1,4,10,15,3,2,practice,,,NaN,NaN,NaN
1,test1,4,11,16,4,4,practice,,,NaN,NaN,NaN
1,test1,4,12,19,5,4,practice,,,NaN,NaN,NaN
1,test2,4,1,23,4,1,practice,,,NaN,NaN,NaN
1,test2,4,2,18,2,2,practice,,,NaN,NaN,NaN
1,test2,4,3,24,2,3,practice,,,NaN,NaN,NaN
1,test2,4,4,13,1,3,practice,,,NaN,NaN,NaN
1,test2,4,5,22,6,2,practice,,,NaN,NaN,NaN
1,test2,4,6,21,3,3,practice,,,NaN,NaN,NaN
1,test2,4,7,14,1,1,practice,,,NaN,NaN,NaN
1,test2,4,8,17,5,1,practice,,,NaN,NaN,NaN
1,test2,4,9,20,6,4,practice,,,NaN,NaN,NaN
1,test2,4,10,15,3,2,practice,,,NaN,NaN,NaN
1,test2,4,11,16,4,4,practice,,,NaN,NaN,NaN
1,test2,4,12,19,5,4,practice,,,NaN,NaN,NaN
