Run,Phase,Block,Trial,Object,Pos,Con,ObjectCategory,Onset,Duration,Response,RT,isCorrect
2,learning,1,1,12,6,1,plants,,,0,0,0
2,learning,1,2,5,3,2,human_face,,,0,0,0
2,learning,1,3,2,1,3,animal_body,,,0,0,0
2,learning,1,4,9,5,4,human_body,,,0,0,0
2,learning,1,5,4,2,3,animal_face,,,0,0,0
2,learning,1,6,10,5,1,human_face,,,0,0,0
2,learning,1,7,1,1,2,animal_face,,,0,0,0
2,learning,1,8,8,4,2,lifeless,,,0,0,0
2,learning,1,9,3,2,4,plants,,,0,0,0
2,learning,1,10,11,6,4,animal_body,,,0,0,0
2,learning,1,11,7,4,3,human_body,,,0,0,0
2,learning,1,12,6,3,1,lifeless,,,0,0,0
2,retrieval,1,1,1,1,2,animal_face,,,0,0,0
2,retrieval,1,2,6,3,1,lifeless,,,0,0,0
2,retrieval,1,3,12,6,1,plants,,,0,0,0
2,retrieval,1,4,11,6,4,animal_body,,,0,0,0
2,retrieval,1,5,5,3,2,human_face,,,0,0,0
2,retrieval,1,6,4,2,3,animal_face,,,0,0,0
2,retrieval,1,7,2,1,3,animal_body,,,0,0,0
2,retrieval,1,8,8,4,2,lifeless,,,0,0,0
2,retrieval,1,9,10,5,1,human_face,,,0,0,0
2,retrieval,1,10,9,5,4,human_body,,,0,0,0
2,retrieval,1,11,7,4,3,human_body,,,0,0,0
2,retrieval,1,12,3,2,4,plants,,,0,0,0
2,test1,1,1,1,1,2,animal_face,,,NaN,NaN,NaN
2,test1,1,2,6,3,1,lifeless,,,NaN,NaN,NaN
2,test1,1,3,12,6,1,plants,,,NaN,NaN,NaN
2,test1,1,4,11,6,4,animal_body,,,NaN,NaN,NaN
2,test1,1,5,5,3,2,human_face,,,NaN,NaN,NaN
2,test1,1,6,4,2,3,animal_face,,,NaN,NaN,NaN
2,test1,1,7,2,1,3,animal_body,,,NaN,NaN,NaN
2,test1,1,8,8,4,2,lifeless,,,NaN,NaN,NaN
2,test1,1,9,10,5,1,human_face,,,NaN,NaN,NaN
2,test1,1,10,9,5,4,human_body,,,NaN,NaN,NaN
2,test1,1,11,7,4,3,human_body,,,NaN,NaN,NaN
2,test1,1,12,3,2,4,plants,,,NaN,NaN,NaN
2,test2,1,1,1,1,2,animal_face,,,NaN,NaN,NaN
2,test2,1,2,6,3,1,lifeless,,,NaN,NaN,NaN
2,test2,1,3,12,6,1,plants,,,NaN,NaN,NaN
2,test2,1,4,11,6,4,animal_body,,,NaN,NaN,NaN
2,test2,1,5,5,3,2,human_face,,,NaN,NaN,NaN
2,test2,1,6,4,2,3,animal_face,,,NaN,NaN,NaN
2,test2,1,7,2,1,3,animal_body,,,NaN,NaN,NaN
2,test2,1,8,8,4,2,lifeless,,,NaN,NaN,NaN
2,test2,1,9,10,5,1,human_face,,,NaN,NaN,NaN
2,test2,1,10,9,5,4,human_body,,,NaN,NaN,NaN
2,test2,1,11,7,4,3,human_body,,,NaN,NaN,NaN
2,test2,1,12,3,2,4,plants,,,NaN,NaN,NaN
2,learning,2,1,4,3,4,animal_face,,,0,0,0
2,learning,2,2,1,4,1,animal_face,,,0,0,0
2,learning,2,3,6,2,2,lifeless,,,0,0,0
2,learning,2,4,5,6,3,human_face,,,0,0,0
2,learning,2,5,12,1,4,plants,,,0,0,0
2,learning,2,6,11,3,2,animal_body,,,0,0,0
2,learning,2,7,7,1,1,human_body,,,0,0,0
2,learning,2,8,10,4,3,human_face,,,0,0,0
2,learning,2,9,9,2,1,human_body,,,0,0,0
2,learning,2,10,3,5,3,plants,,,0,0,0
2,learning,2,11,2,6,2,animal_body,,,0,0,0
2,learning,2,12,8,5,4,lifeless,,,0,0,0
2,retrieval,2,1,8,5,4,lifeless,,,0,0,0
2,retrieval,2,2,11,3,2,animal_body,,,0,0,0
2,retrieval,2,3,3,5,3,plants,,,0,0,0
2,retrieval,2,4,6,2,2,lifeless,,,0,0,0
2,retrieval,2,5,7,1,1,human_body,,,0,0,0
2,retrieval,2,6,1,4,1,animal_face,,,0,0,0
2,retrieval,2,7,5,6,3,human_face,,,0,0,0
2,retrieval,2,8,9,2,1,human_body,,,0,0,0
2,retrieval,2,9,4,3,4,animal_face,,,0,0,0
2,retrieval,2,10,2,6,2,animal_body,,,0,0,0
2,retrieval,2,11,12,1,4,plants,,,0,0,0
2,retrieval,2,12,10,4,3,human_face,,,0,0,0
2,test1,2,1,8,5,4,lifeless,,,NaN,NaN,NaN
2,test1,2,2,11,3,2,animal_body,,,NaN,NaN,NaN
2,test1,2,3,3,5,3,plants,,,NaN,NaN,NaN
2,test1,2,4,6,2,2,lifeless,,,NaN,NaN,NaN
2,test1,2,5,7,1,1,human_body,,,NaN,NaN,NaN
2,test1,2,6,1,4,1,animal_face,,,NaN,NaN,NaN
2,test1,2,7,5,6,3,human_face,,,NaN,NaN,NaN
2,test1,2,8,9,2,1,human_body,,,NaN,NaN,NaN
2,test1,2,9,4,3,4,animal_face,,,NaN,NaN,NaN
2,test1,2,10,2,6,2,animal_body,,,NaN,NaN,NaN
2,test1,2,11,12,1,4,plants,,,NaN,NaN,NaN
2,test1,2,12,10,4,3,human_face,,,NaN,NaN,NaN
2,test2,2,1,8,5,4,lifeless,,,NaN,NaN,NaN
2,test2,2,2,11,3,2,animal_body,,,NaN,NaN,NaN
2,test2,2,3,3,5,3,plants,,,NaN,NaN,NaN
2,test2,2,4,6,2,2,lifeless,,,NaN,NaN,NaN
2,test2,2,5,7,1,1,human_body,,,NaN,NaN,NaN
2,test2,2,6,1,4,1,animal_face,,,NaN,NaN,NaN
2,test2,2,7,5,6,3,human_face,,,NaN,NaN,NaN
2,test2,2,8,9,2,1,human_body,,,NaN,NaN,NaN
2,test2,2,9,4,3,4,animal_face,,,NaN,NaN,NaN
2,test2,2,10,2,6,2,animal_body,,,NaN,NaN,NaN
2,test2,2,11,12,1,4,plants,,,NaN,NaN,NaN
2,test2,2,12,10,4,3,human_face,,,NaN,NaN,NaN
2,learning,3,1,11,3,4,animal_body,,,0,0,0
2,learning,3,2,8,5,2,lifeless,,,0,0,0
2,learning,3,3,7,1,3,human_body,,,0,0,0
2,learning,3,4,1,4,2,animal_face,,,0,0,0
2,learning,3,5,6,2,1,lifeless,,,0,0,0
2,learning,3,6,3,5,4,plants,,,0,0,0
2,learning,3,7,5,6,2,human_face,,,0,0,0
2,learning,3,8,12,1,1,plants,,,0,0,0
