run_id,block_id,stim_type,trial_id,stim,cond,cresp
1,1,object,1,1,filler,none
1,1,object,2,2,filler,none
1,1,object,3,1,same,same
1,1,object,4,3,diff,diff
1,1,object,5,2,lure,diff
1,1,object,6,3,same,same
1,1,object,7,2,same,same
1,1,object,8,4,diff,diff
1,1,object,9,5,diff,diff
1,1,object,10,4,same,same
1,1,object,11,5,same,same
1,1,object,12,0,rest,none
1,2,place,1,1,filler,none
1,2,place,2,2,filler,none
1,2,place,3,1,same,same
1,2,place,4,3,diff,diff
1,2,place,5,4,diff,diff
1,2,place,6,3,same,same
1,2,place,7,4,same,same
1,2,place,8,5,diff,diff
1,2,place,9,4,same,same
1,2,place,10,2,lure,diff
1,2,place,11,5,lure,diff
1,2,place,12,0,rest,none
1,3,face,1,1,filler,none
1,3,face,2,2,filler,none
1,3,face,3,3,diff,diff
1,3,face,4,2,same,same
1,3,face,5,4,diff,diff
1,3,face,6,3,lure,diff
1,3,face,7,5,diff,diff
1,3,face,8,1,lure,diff
1,3,face,9,5,same,same
1,3,face,10,4,lure,diff
1,3,face,11,5,same,same
1,3,face,12,0,rest,none
1,4,word,1,1,filler,none
1,4,word,2,2,filler,none
1,4,word,3,3,diff,diff
1,4,word,4,4,diff,diff
1,4,word,5,3,same,same
1,4,word,6,4,same,same
1,4,word,7,3,same,same
1,4,word,8,2,lure,diff
1,4,word,9,5,diff,diff
1,4,word,10,1,lure,diff
1,4,word,11,5,same,same
1,4,word,12,0,rest,none
1,5,word,1,6,filler,none
1,5,word,2,7,filler,none
1,5,word,3,6,same,same
1,5,word,4,8,diff,diff
1,5,word,5,9,diff,diff
1,5,word,6,8,same,same
1,5,word,7,10,diff,diff
1,5,word,8,8,same,same
1,5,word,9,7,lure,diff
1,5,word,10,9,lure,diff
1,5,word,11,10,lure,diff
1,5,word,12,0,rest,none
1,6,face,1,6,filler,none
1,6,face,2,7,filler,none
1,6,face,3,6,same,same
1,6,face,4,7,same,same
1,6,face,5,8,diff,diff
1,6,face,6,9,diff,diff
1,6,face,7,10,diff,diff
1,6,face,8,9,same,same
1,6,face,9,10,same,same
1,6,face,10,9,same,same
1,6,face,11,8,lure,diff
1,6,face,12,0,rest,none
1,7,place,1,6,filler,none
1,7,place,2,7,filler,none
1,7,place,3,8,diff,diff
1,7,place,4,7,same,same
1,7,place,5,8,same,same
1,7,place,6,6,lure,diff
1,7,place,7,9,diff,diff
1,7,place,8,10,diff,diff
1,7,place,9,9,same,same
1,7,place,10,6,lure,diff
1,7,place,11,10,lure,diff
1,7,place,12,0,rest,none
1,8,object,1,6,filler,none
1,8,object,2,7,filler,none
1,8,object,3,8,diff,diff
1,8,object,4,9,diff,diff
1,8,object,5,8,same,same
1,8,object,6,9,same,same
1,8,object,7,8,same,same
1,8,object,8,7,lure,diff
1,8,object,9,10,diff,diff
1,8,object,10,6,lure,diff
1,8,object,11,10,same,same
1,8,object,12,0,rest,none
1,9,face,1,11,filler,none
1,9,face,2,12,filler,none
1,9,face,3,11,same,same
1,9,face,4,12,same,same
1,9,face,5,13,diff,diff
1,9,face,6,12,same,same
1,9,face,7,14,diff,diff
1,9,face,8,15,diff,diff
1,9,face,9,13,lure,diff
1,9,face,10,15,same,same
1,9,face,11,14,lure,diff
1,9,face,12,0,rest,none
1,10,object,1,11,filler,none
1,10,object,2,12,filler,none
1,10,object,3,13,diff,diff
1,10,object,4,12,same,same
1,10,object,5,13,same,same
1,10,object,6,11,lure,diff
1,10,object,7,14,diff,diff
1,10,object,8,15,diff,diff
1,10,object,9,14,same,same
1,10,object,10,11,lure,diff
1,10,object,11,15,lure,diff
1,10,object,12,0,rest,none
1,11,word,1,11,filler,none
1,11,word,2,12,filler,none
1,11,word,3,11,same,same
1,11,word,4,13,diff,diff
1,11,word,5,12,lure,diff
1,11,word,6,13,same,same
1,11,word,7,12,same,same
1,11,word,8,14,diff,diff
1,11,word,9,15,diff,diff
1,11,word,10,14,same,same
1,11,word,11,15,same,same
1,11,word,12,0,rest,none
1,12,place,1,11,filler,none
1,12,place,2,12,filler,none
1,12,place,3,11,same,same
1,12,place,4,12,same,same
1,12,place,5,13,diff,diff
1,12,place,6,14,diff,diff
1,12,place,7,15,diff,diff
1,12,place,8,14,same,same
1,12,place,9,15,same,same
1,12,place,10,14,same,same
1,12,place,11,13,lure,diff
1,12,place,12,0,rest,none
2,1,place,1,16,filler,none
