run_id,block_id,stim_type,trial_id,stim,cond,cresp
1,1,word,1,1,filler,none
1,1,word,2,2,filler,none
1,1,word,3,3,diff,right
1,1,word,4,1,lure,right
1,1,word,5,3,same,left
1,1,word,6,4,diff,right
1,1,word,7,5,diff,right
1,1,word,8,4,same,left
1,1,word,9,6,diff,right
1,1,word,10,5,lure,right
1,2,word,1,6,filler,none
1,2,word,2,7,filler,none
1,2,word,3,7,lure,right
1,2,word,4,8,diff,right
1,2,word,5,9,diff,left
1,2,word,6,8,same,left
1,2,word,7,9,same,left
1,2,word,8,2,diff,right
1,2,word,9,10,diff,right
1,2,word,10,10,lure,right
1,3,object,1,41,filler,none
1,3,object,2,42,filler,none
1,3,object,3,42,lure,right
1,3,object,4,41,lure,right
1,3,object,5,43,diff,right
1,3,object,6,44,diff,right
1,3,object,7,43,same,left
1,3,object,8,44,same,left
1,3,object,9,45,diff,right
1,3,object,10,45,lure,right
1,4,place,1,31,filler,none
1,4,place,2,32,filler,none
1,4,place,3,31,same,left
1,4,place,4,32,same,left
1,4,place,5,33,diff,right
1,4,place,6,35,diff,right
1,4,place,7,33,same,left
1,4,place,8,34,diff,right
1,4,place,9,35,lure,right
1,4,place,10,36,diff,right
1,5,place,1,37,filler,none
1,5,place,2,38,filler,none
1,5,place,3,37,same,left
1,5,place,4,34,diff,right
1,5,place,5,38,lure,right
1,5,place,6,40,diff,right
1,5,place,7,39,diff,right
1,5,place,8,40,same,left
1,5,place,9,39,same,left
1,5,place,10,36,diff,right
1,6,face,1,11,filler,none
1,6,face,2,12,filler,none
1,6,face,3,12,lure,right
1,6,face,4,13,diff,right
1,6,face,5,13,lure,right
1,6,face,6,14,diff,right
1,6,face,7,15,diff,right
1,6,face,8,14,same,left
1,6,face,9,15,same,left
1,6,face,10,16,diff,right
1,7,face,1,18,filler,none
1,7,face,2,16,filler,none
1,7,face,3,17,diff,right
1,7,face,4,18,lure,right
1,7,face,5,17,same,left
1,7,face,6,11,diff,right
1,7,face,7,19,diff,right
1,7,face,8,20,diff,right
1,7,face,9,19,same,left
1,7,face,10,20,same,left
1,8,object,1,35,filler,none
1,8,object,2,36,filler,none
1,8,object,3,32,diff,right
1,8,object,4,36,same,left
1,8,object,5,31,diff,right
1,8,object,6,31,lure,right
1,8,object,7,34,diff,right
1,8,object,8,33,diff,right
1,8,object,9,34,same,left
1,8,object,10,33,same,left
1,9,object,1,32,filler,none
1,9,object,2,37,filler,none
1,9,object,3,38,diff,right
1,9,object,4,37,same,left
1,9,object,5,39,diff,right
1,9,object,6,38,lure,right
1,9,object,7,39,same,left
1,9,object,8,40,diff,right
1,9,object,9,35,diff,right
1,9,object,10,40,same,left
1,10,word,1,11,filler,none
1,10,word,2,12,filler,none
1,10,word,3,12,lure,right
1,10,word,4,13,diff,right
1,10,word,5,13,lure,right
1,10,word,6,14,diff,right
1,10,word,7,15,diff,right
1,10,word,8,14,same,left
1,10,word,9,15,same,left
