run_id,block_id,stim_type,trial_id,stim,cond,cresp
1,1,object,1,1,filler,none
1,1,object,2,2,filler,none
1,1,object,3,1,same,left
1,1,object,4,3,diff,right
1,1,object,5,2,lure,right
1,1,object,6,3,same,left
1,1,object,7,2,same,left
1,1,object,8,4,diff,right
1,1,object,9,5,diff,right
1,1,object,10,4,same,left
1,1,object,11,5,same,left
1,2,place,1,1,filler,none
1,2,place,2,2,filler,none
1,2,place,3,1,same,left
1,2,place,4,3,diff,right
1,2,place,5,4,diff,right
1,2,place,6,3,same,left
1,2,place,7,4,same,left
1,2,place,8,5,diff,right
1,2,place,9,4,same,left
1,2,place,10,2,lure,right
1,2,place,11,5,lure,right
1,3,face,1,1,filler,none
1,3,face,2,2,filler,none
1,3,face,3,3,diff,right
1,3,face,4,2,same,left
1,3,face,5,4,diff,right
1,3,face,6,3,lure,right
1,3,face,7,5,diff,right
1,3,face,8,1,lure,right
1,3,face,9,5,same,left
1,3,face,10,4,lure,right
1,3,face,11,5,same,left
1,4,word,1,1,filler,none
1,4,word,2,2,filler,none
1,4,word,3,3,diff,right
1,4,word,4,4,diff,right
1,4,word,5,3,same,left
1,4,word,6,4,same,left
1,4,word,7,3,same,left
1,4,word,8,2,lure,right
1,4,word,9,5,diff,right
1,4,word,10,1,lure,right
1,4,word,11,5,same,left
1,5,word,1,6,filler,none
1,5,word,2,7,filler,none
1,5,word,3,6,same,left
1,5,word,4,8,diff,right
1,5,word,5,9,diff,right
1,5,word,6,8,same,left
1,5,word,7,10,diff,right
1,5,word,8,8,same,left
1,5,word,9,7,lure,right
1,5,word,10,9,lure,right
1,5,word,11,10,lure,right
1,6,face,1,6,filler,none
1,6,face,2,7,filler,none
1,6,face,3,6,same,left
1,6,face,4,7,same,left
1,6,face,5,8,diff,right
1,6,face,6,9,diff,right
1,6,face,7,10,diff,right
1,6,face,8,9,same,left
1,6,face,9,10,same,left
1,6,face,10,9,same,left
1,6,face,11,8,lure,right
1,7,place,1,6,filler,none
1,7,place,2,7,filler,none
1,7,place,3,8,diff,right
1,7,place,4,7,same,left
1,7,place,5,8,same,left
1,7,place,6,6,lure,right
1,7,place,7,9,diff,right
1,7,place,8,10,diff,right
1,7,place,9,9,same,left
1,7,place,10,6,lure,right
1,7,place,11,10,lure,right
1,8,object,1,6,filler,none
1,8,object,2,7,filler,none
1,8,object,3,8,diff,right
1,8,object,4,9,diff,right
1,8,object,5,8,same,left
1,8,object,6,9,same,left
1,8,object,7,8,same,left
1,8,object,8,7,lure,right
1,8,object,9,10,diff,right
1,8,object,10,6,lure,right
1,8,object,11,10,same,left
1,9,face,1,11,filler,none
1,9,face,2,12,filler,none
1,9,face,3,11,same,left
1,9,face,4,12,same,left
1,9,face,5,13,diff,right
1,9,face,6,12,same,left
1,9,face,7,14,diff,right
1,9,face,8,15,diff,right
1,9,face,9,13,lure,right
1,9,face,10,15,same,left
1,9,face,11,14,lure,right
1,10,object,1,11,filler,none
1,10,object,2,12,filler,none
1,10,object,3,13,diff,right
1,10,object,4,12,same,left
1,10,object,5,13,same,left
1,10,object,6,11,lure,right
1,10,object,7,14,diff,right
1,10,object,8,15,diff,right
1,10,object,9,14,same,left
1,10,object,10,11,lure,right
1,10,object,11,15,lure,right
1,11,word,1,11,filler,none
1,11,word,2,12,filler,none
1,11,word,3,11,same,left
1,11,word,4,13,diff,right
1,11,word,5,12,lure,right
1,11,word,6,13,same,left
1,11,word,7,12,same,left
1,11,word,8,14,diff,right
1,11,word,9,15,diff,right
1,11,word,10,14,same,left
1,11,word,11,15,same,left
1,12,place,1,11,filler,none
1,12,place,2,12,filler,none
1,12,place,3,11,same,left
1,12,place,4,12,same,left
1,12,place,5,13,diff,right
1,12,place,6,14,diff,right
1,12,place,7,15,diff,right
1,12,place,8,14,same,left
1,12,place,9,15,same,left
1,12,place,10,14,same,left
1,12,place,11,13,lure,right
2,1,place,1,16,filler,none
2,1,place,2,17,filler,none
2,1,place,3,16,same,left
2,1,place,4,18,diff,right
2,1,place,5,17,lure,right
2,1,place,6,18,same,left
2,1,place,7,17,same,left
2,1,place,8,19,diff,right
2,1,place,9,20,diff,right
2,1,place,10,19,same,left
2,1,place,11,20,same,left
2,2,word,1,16,filler,none
2,2,word,2,17,filler,none
2,2,word,3,18,diff,right
2,2,word,4,17,same,left
2,2,word,5,18,same,left
2,2,word,6,19,diff,right
